RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x48) = 0x1e259826db0L
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e259826db0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e2598262a0L) = 0x1
RtlFreeHeap(0x1e255d00000L , 0x0 , 0x1e255d0dff0L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x28) = 0x1e255aed660L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed660L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x30) = 0x1e255ae8730L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed5d0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed7b0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed660L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aec800L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed5d0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed7b0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed660L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec800L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8730L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x28) = 0x1e255aed420L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed420L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x30) = 0x1e255ae8430L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed570L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x20) = 0x1e255aed690L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x28) = 0x1e255aed7b0L
RtlAllocateHeap(0x1e255a80000L , 0x140008 , 0x58) = 0x1e255aec8c0L
RtlAllocateHeap(0x1e255a80000L , 0x140000 , 0x28) = 0x1e255aed660L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed660L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed570L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed690L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aed7b0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aec8c0L) = 0x1
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255ae8430L) = 0x1
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x48) = 0x1e255ae9b30L
RtlAllocateHeap(0x1e255d00000L , 0x0 , 0x24) = 0x1e2598263f0L
RtlAllocateHeap(0x1e255a80000L , 0x8 , 0x50) = 0x1e255aecda0L
RtlFreeHeap(0x1e255a80000L , 0x0 , 0x1e255aecda0L) = 0x1
